sheet,seg_id,start_ms,end_ms,duration_ms,label
El-Kapat,1,62.0,9902.0,9840.0,El-Kapat
El-Kapat,2,11222.0,14462.0,3240.0,El-Kapat
El-Kapat,3,15542.0,16142.0,600.0,El-Kapat
El-Ac,1,662.0,3302.0,2640.0,El-Ac
El-Ac,2,4382.0,6422.0,2040.0,El-Ac
El-Ac,3,10622.0,12422.0,1800.0,El-Ac
El-Ac,4,13742.0,18782.0,5040.0,El-Ac
BasParmakFleksiyon,1,767.0,3647.0,2880.0,BasParmakFleksiyon
BasParmakFleksiyon,2,4367.0,6047.0,1680.0,BasParmakFleksiyon
BasParmakFleksiyon,3,8687.0,10487.0,1800.0,BasParmakFleksiyon
BasParmakFleksiyon,4,11327.0,13127.0,1800.0,BasParmakFleksiyon
BasParmakFleksiyon,5,13367.0,14687.0,1320.0,BasParmakFleksiyon
BasParmakEkstansiyon,1,7143.0,7983.0,840.0,BasParmakEkstansiyon
BasParmakEkstansiyon,2,10383.0,13023.0,2640.0,BasParmakEkstansiyon
BasParmakEkstansiyon,3,13383.0,14583.0,1200.0,BasParmakEkstansiyon
BasParmakEkstansiyon,4,15063.0,16023.0,960.0,BasParmakEkstansiyon
BasParmakEkstansiyon,5,17703.0,18663.0,960.0,BasParmakEkstansiyon
Supinasyon,1,2687.0,9407.0,6720.0,Supinasyon
Supinasyon,2,9887.0,12287.0,2400.0,Supinasyon
Pronasyon,1,3767.0,6047.0,2280.0,Pronasyon
Pronasyon,2,6287.0,11687.0,5400.0,Pronasyon
Pronasyon,3,12527.0,14447.0,1920.0,Pronasyon
Pronasyon,4,18047.0,20087.0,2040.0,Pronasyon
