Sheet,Attempt_ID,Start_time,End_time,Duration_ms
BasParmakEkstansiyon,1,4403.0,4683.0,280.0
BasParmakEkstansiyon,2,7353.0,7663.0,310.0
BasParmakEkstansiyon,3,10753.0,11093.0,340.0
BasParmakEkstansiyon,4,12303.0,12753.0,450.0
BasParmakEkstansiyon,5,13983.0,14443.0,460.0
BasParmakEkstansiyon,6,15313.0,15883.0,570.0
BasParmakEkstansiyon,7,17873.0,18403.0,530.0
BasParmakFleksiyon,1,2647.0,3527.0,880.0
BasParmakFleksiyon,2,5047.0,5617.0,570.0
BasParmakFleksiyon,3,9177.0,10327.0,1150.0
BasParmakFleksiyon,4,11497.0,12527.0,1030.0
BasParmakFleksiyon,5,14037.0,14577.0,540.0
El-Ac,1,1222.0,2412.0,1190.0
El-Ac,2,10982.0,11292.0,310.0
El-Ac,3,13822.0,15272.0,1450.0
El-Ac,4,16162.0,18612.0,2450.0
El-Kapat,1,282.0,7422.0,7140.0
El-Kapat,2,11392.0,14272.0,2880.0
Pronasyon,1,4937.0,5867.0,930.0
Pronasyon,2,8157.0,9437.0,1280.0
Pronasyon,3,10627.0,11507.0,880.0
Pronasyon,4,13577.0,14227.0,650.0
Pronasyon,5,18417.0,19427.0,1010.0
Pronasyon,6,22407.0,23537.0,1130.0
Supinasyon,1,20377.0,20594.0,217.0
