start_time_s,end_time_s,sheet,label,confidence,source,notes
0.89,1.29,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
2.07,2.97,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
3.97,4.67,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
5.7,6.36,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
7.12,7.75,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
9.07,9.81,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
10.54,11.1,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
12.17,12.81,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
13.65,14.37,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
15.2,15.75,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
16.52,17.11,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
17.79,18.51,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
21.34,21.84,BasParmakEkstansiyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
