start_time_s,end_time_s,sheet,label,confidence,source,notes
0.06,0.31,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
0.33,0.59,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
3.91,4.38,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
4.47,5.76,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
8.02,8.34,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
8.55,9.37,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
10.35,11.37,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
13.14,14.09,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
15.98,16.62,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
18.29,19.54,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
21.98,23.42,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
25.28,26.27,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
29.67,29.828,Pronasyon,movement_attempt,0.8,auto,vote>=2 + meanZ gate
