Sheet,Attempt_ID,Start_time,End_time,Duration_ms
BasParmakEkstansiyon,1,763.0,1253.0,490.0
BasParmakEkstansiyon,2,1663.0,3153.0,1490.0
BasParmakEkstansiyon,3,3963.0,4853.0,890.0
BasParmakEkstansiyon,4,5663.0,6553.0,890.0
BasParmakEkstansiyon,5,7063.0,7953.0,890.0
BasParmakEkstansiyon,6,9063.0,9953.0,890.0
BasParmakEkstansiyon,7,10463.0,11153.0,690.0
BasParmakEkstansiyon,8,12063.0,12953.0,890.0
BasParmakEkstansiyon,9,13463.0,14653.0,1190.0
BasParmakEkstansiyon,10,15063.0,15653.0,590.0
BasParmakEkstansiyon,11,16463.0,17153.0,690.0
BasParmakEkstansiyon,12,17863.0,18653.0,790.0
BasParmakFleksiyon,1,1547.0,1937.0,390.0
BasParmakFleksiyon,2,2447.0,3637.0,1190.0
BasParmakFleksiyon,3,4447.0,4637.0,190.0
BasParmakFleksiyon,4,4947.0,5737.0,790.0
BasParmakFleksiyon,5,7347.0,7937.0,590.0
BasParmakFleksiyon,6,9047.0,10537.0,1490.0
BasParmakFleksiyon,7,11747.0,12637.0,890.0
BasParmakFleksiyon,8,13447.0,14637.0,1190.0
El-Ac,1,662.0,1252.0,590.0
El-Ac,2,1762.0,2552.0,790.0
El-Ac,3,2862.0,3852.0,990.0
El-Ac,4,4462.0,4952.0,490.0
El-Ac,5,5362.0,6352.0,990.0
El-Ac,6,7562.0,8052.0,490.0
El-Ac,7,8562.0,9052.0,490.0
El-Ac,8,9762.0,10252.0,490.0
El-Ac,9,10762.0,12052.0,1290.0
El-Ac,10,13762.0,14152.0,390.0
El-Ac,11,14962.0,15252.0,290.0
El-Ac,12,15562.0,16452.0,890.0
El-Ac,13,17162.0,18752.0,1590.0
El-Ac,14,19162.0,19952.0,790.0
El-Ac,15,20462.0,20852.0,390.0
El-Ac,16,21162.0,21852.0,690.0
El-Kapat,1,662.0,852.0,190.0
El-Kapat,2,1262.0,1752.0,490.0
El-Kapat,3,2362.0,7152.0,4790.0
El-Kapat,4,11362.0,13152.0,1790.0
El-Kapat,5,13462.0,14152.0,690.0
Pronasyon,1,3847.0,5937.0,2090.0
Pronasyon,2,6347.0,6837.0,490.0
Pronasyon,3,7447.0,11637.0,4190.0
Pronasyon,4,12947.0,14237.0,1290.0
Pronasyon,5,15347.0,16837.0,1490.0
Pronasyon,6,18347.0,19337.0,990.0
Pronasyon,7,21947.0,23737.0,1790.0
Pronasyon,8,25147.0,26337.0,1190.0
