start_time,end_time,center_time,RMS_log1p,TKEO_log1p,WL_log1p,cluster,is_active_cluster
63.0,253.0,158.0,0.18764126710890822,0.000407779261408044,0.26486402518809044,0,0
163.0,353.0,258.0,0.2958080946015063,0.0005941070711463897,0.2373781504484592,0,0
263.0,453.0,358.0,0.3670801435948224,0.001066456022850841,0.15103030983178373,0,0
363.0,553.0,458.0,0.35928271293055164,0.0009947432657546355,0.18762967188974602,0,0
463.0,653.0,558.0,0.29453494836763644,0.0006841355912003225,0.2680920583707831,0,0
563.0,753.0,658.0,0.3113768837893247,0.0009475184832287797,0.2070990989839267,0,0
663.0,853.0,758.0,0.3431520498415528,0.001077178460515399,0.16295232138348595,0,0
763.0,953.0,858.0,0.45330557058656634,0.003077232029156317,0.6017384990441008,0,0
863.0,1053.0,958.0,0.7247749905761254,0.010563500764655601,0.6976596229804277,0,0
963.0,1153.0,1058.0,0.8214853788033621,0.009887294271410694,0.40520507911233145,0,0
1063.0,1253.0,1158.0,0.7627004240473518,0.006894338094811578,0.3458822394701502,0,0
1163.0,1353.0,1258.0,0.6903900393297014,0.005766631444113712,0.3684765708448131,0,0
1263.0,1453.0,1358.0,0.5418529507248244,0.004707304525753726,0.5281846397106645,0,0
1363.0,1553.0,1458.0,0.3258873595511315,0.00047153287665171046,0.33041995374221694,0,0
1463.0,1653.0,1558.0,0.3358574216383219,0.0015358381750929346,0.2309474829924639,0,0
1563.0,1753.0,1658.0,0.36874536026175975,0.0015494800133661563,0.2275887638965193,0,0
1663.0,1853.0,1758.0,0.3217172368151625,0.0005465912265135391,0.24840315524739517,0,0
1763.0,1953.0,1858.0,0.37962846204144396,0.0012211501781853261,0.34583169888738896,0,0
1863.0,2053.0,1958.0,0.49212648605486775,0.002171875400332727,0.2893144817801122,0,0
1963.0,2153.0,2058.0,0.5445208827979449,0.0015602802150005179,0.5113556131820794,0,0
2063.0,2253.0,2158.0,0.8905813749877282,0.019632470209043577,1.0146076770834578,1,1
2163.0,2353.0,2258.0,1.135580174638959,0.02978616672060503,0.7913777175337203,1,1
2263.0,2453.0,2358.0,1.0935321319051732,0.023688034126290208,0.8410390924621868,1,1
2363.0,2553.0,2458.0,0.8547661059635533,0.01270966992075127,0.8142809458566513,1,1
2463.0,2653.0,2558.0,0.6943443513830919,0.006873852863901569,0.37434359674222134,0,0
2563.0,2753.0,2658.0,0.6855131655715125,0.009998904867451608,0.8689298129641858,1,1
2663.0,2853.0,2758.0,0.9531343793183208,0.023670577653050497,0.9196953582448593,1,1
2763.0,2953.0,2858.0,1.0813102677444448,0.024703755705866207,0.6501471646950793,1,1
2863.0,3053.0,2958.0,0.9057491866551971,0.0200866490307802,0.9971348624801185,1,1
2963.0,3153.0,3058.0,0.49756360767836494,0.004173366296472386,0.7910493638138233,0,0
3063.0,3253.0,3158.0,0.22149700921616272,0.0003766681501776279,0.18488624579616128,0,0
3163.0,3353.0,3258.0,0.23212752036352682,0.0003905558653572349,0.10328374909343226,0,0
3263.0,3453.0,3358.0,0.2574730653413591,0.00022727289320943075,0.10435841035625881,0,0
3363.0,3553.0,3458.0,0.30427677145635645,0.0004987840985401825,0.1466339964541557,0,0
3463.0,3653.0,3558.0,0.32471757165991455,0.0007960165692118162,0.15560338294401707,0,0
3563.0,3753.0,3658.0,0.30420202772697136,0.0006863636982430802,0.22680414296955567,0,0
3663.0,3853.0,3758.0,0.32345600678840036,0.000909328618992637,0.1688023230954124,0,0
3763.0,3953.0,3858.0,0.379494810736395,0.0010501454056744061,0.27744846533434725,0,0
3863.0,4053.0,3958.0,0.5506215146101751,0.007014513748922689,0.6388323829216889,0,0
3963.0,4153.0,4058.0,0.838428970739818,0.013245255360916586,0.9302212334270987,1,1
4063.0,4253.0,4158.0,1.1518622812147445,0.039040667445680355,0.9580793416348119,1,1
4163.0,4353.0,4258.0,1.273558934130635,0.06279346850000372,0.8605791754162421,1,1
4263.0,4453.0,4358.0,1.293663504668387,0.07857724802319355,1.2885800594934147,1,1
