pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,0.958,1.198,0.24,1.0779999999999998,3.8858788244968223,0.06000000000000005,0.06000000000000005,0.6002654075539647
1,2.098,2.518,0.41999999999999993,2.338,4.380296645068571,0.2400000000000002,0.1200000000000001,1.0254991330046923
2,2.698,2.998,0.30000000000000027,2.818,6.059881847364666,0.1200000000000001,0.0600000000000005,1.2482955818338735
3,4.018000000000001,4.7379999999999995,0.7199999999999989,4.558,9.09358227377399,0.47999999999999865,0.11999999999999922,3.561515786254271
4,5.818,6.418,0.6000000000000005,6.178,9.434978644552896,0.3600000000000003,0.1800000000000006,3.246570027214984
5,7.258,7.8580000000000005,0.6000000000000005,7.438000000000001,13.045625101904262,0.1800000000000006,0.3000000000000007,3.7777463265192046
6,9.118,10.078,0.9599999999999991,9.538,6.020572840108717,0.35999999999999943,0.4800000000000004,3.072537322001923
7,10.618,11.158,0.5399999999999991,10.918,12.598486793449837,0.29999999999999893,0.17999999999999972,3.8249380515661535
8,12.178,12.898,0.7199999999999989,12.478,11.553686561067192,0.29999999999999893,0.3000000000000007,4.066627575111332
9,13.738,14.518,0.7800000000000011,13.858,11.347602171994732,0.120000000000001,0.4800000000000004,6.108068148034944
10,15.238,15.898,0.6600000000000001,15.718,11.175960389446152,0.4800000000000004,0.11999999999999922,4.393237000480229
11,16.558,17.218,0.6600000000000001,16.858,5.939885399393699,0.240000000000002,0.3000000000000007,2.142452781537297
12,17.878,18.538,0.6600000000000001,18.058,12.84006006696234,0.120000000000001,0.4200000000000017,4.776769203269209
