pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,2.258,2.458,0.20000000000000018,2.258,0.875,,,0.13749999999999996
1,2.758,3.058,0.2999999999999998,2.758,1.0,,0.09999999999999964,0.22499999999999998
2,4.1579999999999995,4.758,0.6000000000000005,4.258,1.0,0.10000000000000053,0.10000000000000053,0.5000000000000001
3,5.8580000000000005,6.458,0.5999999999999996,6.1579999999999995,1.0,0.29999999999999893,0.09999999999999964,0.4625
4,7.258,7.8580000000000005,0.6000000000000005,7.3580000000000005,1.0,0.10000000000000053,0.20000000000000107,0.46249999999999986
5,9.258,9.858,0.6000000000000014,9.458,1.0,0.20000000000000107,,0.47500000000000053
6,10.658000000000001,11.158000000000001,0.5,10.758,1.0,0.09999999999999787,,0.4249999999999994
7,12.258,12.958,0.7000000000000011,12.358,1.0,0.10000000000000142,0.20000000000000107,0.5437500000000007
8,13.758,14.558,0.8000000000000007,13.758,1.0,,0.09999999999999964,0.6875000000000011
9,15.258,15.858,0.6000000000000014,15.358,1.0,0.10000000000000142,,0.5500000000000007
10,16.658,17.058,0.3999999999999986,16.658,1.0,,0.29999999999999716,0.24999999999999867
11,17.958,18.558,0.6000000000000014,17.958,1.0,,0.10000000000000142,0.5125000000000008
