pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,0.142,0.542,0.4,0.442,0.625,0.30000000000000004,,0.18750000000000003
1,1.842,2.042,0.19999999999999973,1.842,0.5,,,0.0749999999999999
2,3.8419999999999996,6.242,2.4000000000000004,3.942,1.0,0.10000000000000053,,2.2125000000000004
3,6.442,11.742,5.300000000000001,8.142,1.0,1.6999999999999993,,4.631250000000001
4,12.642,14.442,1.8000000000000007,12.642,1.0,,,1.7625000000000002
5,15.142,17.342,2.1999999999999993,15.242,1.0,0.10000000000000142,0.1999999999999993,2.0499999999999994
6,17.942,20.042,2.1000000000000014,18.241999999999997,1.0,0.29999999999999716,,1.8000000000000003
7,20.241999999999997,20.542,0.30000000000000426,20.342,0.625,0.10000000000000142,,0.13125000000000187
8,21.642,24.241999999999997,2.599999999999998,21.741999999999997,1.0,0.09999999999999787,,2.4437500000000005
9,24.642,26.342,1.6999999999999993,25.342,1.0,0.6999999999999993,,1.3875
