pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,0.9570000000000001,1.4969999999999999,0.5399999999999998,1.377,1.0,0.41999999999999993,,0.3412499999999997
1,2.157,2.3970000000000002,0.2400000000000002,2.2169999999999996,1.0,0.05999999999999961,,0.19500000000000006
2,4.617,4.856999999999999,0.23999999999999932,4.617,0.75,,,0.13124999999999992
3,5.6370000000000005,5.817,0.17999999999999972,5.697,0.75,0.05999999999999961,0.0600000000000005,0.10124999999999962
4,10.017,10.197,0.17999999999999972,10.017,0.875,,0.05999999999999872,0.10875000000000046
5,11.577,11.757,0.17999999999999972,11.637,1.0,0.0600000000000005,,0.13124999999999964
6,14.217,14.577,0.35999999999999943,14.397,0.875,0.17999999999999972,,0.26999999999999946
7,16.197,16.437,0.240000000000002,16.197,0.625,,,0.12750000000000106
8,16.737000000000002,16.917,0.17999999999999972,16.737000000000002,0.75,,,0.1162499999999993
9,17.157,18.597,1.4400000000000013,17.817,1.0,0.6600000000000001,,1.0125000000000015
