start_time_s,end_time_s,sheet,label,confidence,source,notes
1.21,1.48,El-Ac,movement_attempt,0.8,auto,vote>=2
2.07,2.33,El-Ac,movement_attempt,0.8,auto,vote>=2
4.61,4.72,El-Ac,movement_attempt,0.8,auto,vote>=2
5.18,5.28,El-Ac,movement_attempt,0.8,auto,vote>=2
5.57,5.72,El-Ac,movement_attempt,0.8,auto,vote>=2
6.05,6.19,El-Ac,movement_attempt,0.8,auto,vote>=2
9.86,10.08,El-Ac,movement_attempt,0.8,auto,vote>=2
10.84,11.17,El-Ac,movement_attempt,0.8,auto,vote>=2
11.3,11.41,El-Ac,movement_attempt,0.8,auto,vote>=2
11.5,11.65,El-Ac,movement_attempt,0.8,auto,vote>=2
11.99,12.14,El-Ac,movement_attempt,0.8,auto,vote>=2
13.17,13.29,El-Ac,movement_attempt,0.8,auto,vote>=2
13.44,13.57,El-Ac,movement_attempt,0.8,auto,vote>=2
13.78,14.24,El-Ac,movement_attempt,0.8,auto,vote>=2
14.31,14.64,El-Ac,movement_attempt,0.8,auto,vote>=2
14.76,14.93,El-Ac,movement_attempt,0.8,auto,vote>=2
15.01,15.25,El-Ac,movement_attempt,0.8,auto,vote>=2
15.76,15.89,El-Ac,movement_attempt,0.8,auto,vote>=2
15.97,17.9,El-Ac,movement_attempt,0.8,auto,vote>=2
17.97,18.41,El-Ac,movement_attempt,0.8,auto,vote>=2
18.92,19.01,El-Ac,movement_attempt,0.8,auto,vote>=2
19.31,19.68,El-Ac,movement_attempt,0.8,auto,vote>=2
21.26,21.44,El-Ac,movement_attempt,0.8,auto,vote>=2
21.54,21.69,El-Ac,movement_attempt,0.8,auto,vote>=2
