start_time_s,end_time_s,sheet,label,confidence,source,notes
0.69,0.8,El-Kapat,movement_attempt,0.8,auto,vote>=2
1.2,1.27,El-Kapat,movement_attempt,0.8,auto,vote>=2
2.17,2.31,El-Kapat,movement_attempt,0.8,auto,vote>=2
2.63,2.83,El-Kapat,movement_attempt,0.8,auto,vote>=2
2.89,2.98,El-Kapat,movement_attempt,0.8,auto,vote>=2
3.07,3.16,El-Kapat,movement_attempt,0.8,auto,vote>=2
3.5,4.22,El-Kapat,movement_attempt,0.8,auto,vote>=2
4.58,4.76,El-Kapat,movement_attempt,0.8,auto,vote>=2
4.82,5.0,El-Kapat,movement_attempt,0.8,auto,vote>=2
5.45,5.8,El-Kapat,movement_attempt,0.8,auto,vote>=2
6.08,6.15,El-Kapat,movement_attempt,0.8,auto,vote>=2
6.19,6.51,El-Kapat,movement_attempt,0.8,auto,vote>=2
6.6,6.67,El-Kapat,movement_attempt,0.8,auto,vote>=2
11.46,11.92,El-Kapat,movement_attempt,0.8,auto,vote>=2
12.02,12.19,El-Kapat,movement_attempt,0.8,auto,vote>=2
12.23,12.51,El-Kapat,movement_attempt,0.8,auto,vote>=2
13.14,13.27,El-Kapat,movement_attempt,0.8,auto,vote>=2
13.63,13.78,El-Kapat,movement_attempt,0.8,auto,vote>=2
