start_time_s,end_time_s,sheet,label,confidence,source,notes
0.06,0.31,Pronasyon,movement_attempt,0.8,auto,vote>=2
0.33,0.59,Pronasyon,movement_attempt,0.8,auto,vote>=2
1.49,1.99,Pronasyon,movement_attempt,0.8,auto,vote>=2
2.23,2.58,Pronasyon,movement_attempt,0.8,auto,vote>=2
3.22,3.43,Pronasyon,movement_attempt,0.8,auto,vote>=2
3.47,3.63,Pronasyon,movement_attempt,0.8,auto,vote>=2
3.68,3.81,Pronasyon,movement_attempt,0.8,auto,vote>=2
3.89,6.1,Pronasyon,movement_attempt,0.8,auto,vote>=2
6.27,11.71,Pronasyon,movement_attempt,0.8,auto,vote>=2
12.13,12.24,Pronasyon,movement_attempt,0.8,auto,vote>=2
12.55,14.48,Pronasyon,movement_attempt,0.8,auto,vote>=2
14.81,17.27,Pronasyon,movement_attempt,0.8,auto,vote>=2
17.55,17.69,Pronasyon,movement_attempt,0.8,auto,vote>=2
17.72,19.98,Pronasyon,movement_attempt,0.8,auto,vote>=2
20.11,20.64,Pronasyon,movement_attempt,0.8,auto,vote>=2
21.01,21.16,Pronasyon,movement_attempt,0.8,auto,vote>=2
21.27,24.4,Pronasyon,movement_attempt,0.8,auto,vote>=2
24.59,29.828,Pronasyon,movement_attempt,0.8,auto,vote>=2
