pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,0.958,1.198,0.24,1.018,1.0,0.06000000000000005,,0.20624999999999996
1,2.1580000000000004,2.518,0.35999999999999943,2.278,1.0,0.11999999999999966,,0.31124999999999964
2,2.698,2.998,0.30000000000000027,2.758,1.0,0.06000000000000005,,0.27000000000000013
3,4.077999999999999,4.7379999999999995,0.6600000000000001,4.258,1.0,0.1800000000000006,,0.6112500000000001
4,5.818,6.418,0.6000000000000005,5.997999999999999,1.0,0.17999999999999972,,0.5400000000000005
5,7.258,7.8580000000000005,0.6000000000000005,7.318,1.0,0.05999999999999961,0.1800000000000006,0.5100000000000001
6,9.178,10.018,0.8399999999999999,9.238,1.0,0.05999999999999872,,0.7462499999999999
7,10.618,11.158,0.5399999999999991,10.678,1.0,0.0600000000000005,,0.4912499999999991
8,12.178,12.898,0.7199999999999989,12.178,1.0,,,0.6937499999999992
9,13.738,14.518,0.7800000000000011,13.738,1.0,,0.0600000000000005,0.7350000000000008
10,15.238,15.898,0.6600000000000001,15.298,1.0,0.0600000000000005,,0.6187500000000007
11,16.558,17.218,0.6600000000000001,16.618,1.0,0.05999999999999872,,0.4950000000000008
12,17.878,18.538,0.6600000000000001,17.878,1.0,,,0.6187500000000006
